filename,width,height,class,xmin,ymin,xmax,ymax
611.jpg,4160,2340,License Plate,427,1095,2094,1705
392.jpg,1024,768,License Plate,350,391,661,466
356.jpg,1024,768,License Plate,365,363,620,418
451.jpg,640,480,License Plate,203,275,402,322
340.jpg,640,480,License Plate,214,263,458,315
553.jpg,4160,2340,License Plate,1775,562,2699,1143
594.jpg,4160,2340,License Plate,804,1005,2799,1362
432.jpg,640,480,License Plate,232,315,421,350
375.jpg,1024,768,License Plate,368,355,651,411
202.jpg,640,480,License Plate,204,365,431,400
65.jpg,640,480,License Plate,214,230,412,276
324.jpg,640,480,License Plate,183,286,429,330
436.jpg,640,480,License Plate,280,328,397,375
521.jpg,4160,2340,License Plate,1685,819,2242,1124
368.jpg,1024,768,License Plate,388,386,638,440
596.jpg,434,304,License Plate,8,107,386,248
543.jpg,4160,2340,License Plate,1480,952,2575,1500
556.jpg,4160,2340,License Plate,1461,571,2756,1257
307.jpg,640,480,License Plate,210,303,448,353
498.jpg,640,480,License Plate,224,263,417,312
186.jpg,640,480,License Plate,224,376,422,413
625.jpeg,489,301,License Plate,110,228,249,265
251.jpg,640,480,License Plate,253,235,390,329
332.jpg,640,480,License Plate,222,297,459,341
454.jpg,640,480,License Plate,155,233,317,288
624.jpeg,511,288,License Plate,101,138,210,172
412.jpg,640,480,License Plate,158,314,307,352
196.jpg,640,480,License Plate,207,303,439,347
188.jpg,640,480,License Plate,212,401,429,448
85.jpg,640,480,License Plate,240,250,389,353
235.jpg,640,480,License Plate,217,295,446,335
49.jpg,640,480,License Plate,226,292,484,359
496.jpg,640,480,License Plate,201,225,383,344
321.jpg,640,480,License Plate,194,266,461,320
285.jpg,640,480,License Plate,208,245,451,302
600.jpg,4160,2340,License Plate,1556,1190,1904,1267
448.jpg,640,480,License Plate,230,387,426,442
169.jpg,640,480,License Plate,215,268,424,311
387.jpg,640,480,License Plate,211,275,379,313
538.jpg,4160,2340,License Plate,1770,771,2451,1262
278.jpg,640,480,License Plate,204,248,437,299
217.jpg,640,480,License Plate,199,287,423,333
501.jpg,640,480,License Plate,193,365,394,427
132.jpg,640,480,License Plate,260,392,377,417
259.jpg,640,480,License Plate,196,275,444,322
133.jpg,640,480,License Plate,42,284,173,325
265.jpg,640,480,License Plate,204,293,428,336
574.jpg,4160,2340,License Plate,1451,1129,2285,1671
204.jpg,640,480,License Plate,255,266,392,359
181.jpg,640,480,License Plate,217,338,441,376
126.jpg,640,480,License Plate,254,370,380,398
517.jpg,4160,2340,License Plate,1813,1057,2556,1490
224.jpg,640,480,License Plate,209,291,428,330
263.jpg,640,480,License Plate,207,313,435,353
494.jpg,640,480,License Plate,221,323,417,373
352.jpg,640,480,License Plate,199,261,454,323
144.jpg,640,480,License Plate,262,335,392,365
47.jpg,640,480,License Plate,199,270,430,320
580.jpg,4160,2340,License Plate,1747,748,2642,1529
456.jpg,640,480,License Plate,256,238,407,275
327.jpg,640,480,License Plate,265,371,381,395
151.jpg,640,480,License Plate,213,243,423,290
527.jpg,4160,2340,License Plate,1208,910,2623,1333
136.jpg,640,480,License Plate,209,405,332,434
341.jpg,640,480,License Plate,204,253,453,300
466.jpg,640,480,License Plate,213,258,448,303
269.jpg,640,480,License Plate,187,233,445,285
533.jpg,4160,2340,License Plate,1504,1124,2651,1771
115.jpg,640,480,License Plate,199,286,457,337
485.jpg,640,480,License Plate,175,303,287,370
463.jpg,640,480,License Plate,210,253,424,298
221.jpg,640,480,License Plate,200,310,440,355
93.jpg,640,480,License Plate,220,323,424,363
426.jpg,640,480,License Plate,216,360,373,413
87.jpg,640,480,License Plate,201,380,454,426
12.jpg,640,480,License Plate,199,335,395,376
305.jpg,640,480,License Plate,205,298,454,353
176.jpg,640,480,License Plate,190,275,428,328
427.jpg,640,480,License Plate,292,220,442,280
287.jpg,640,480,License Plate,199,275,447,327
480.jpg,640,480,License Plate,239,215,427,273
165.jpg,640,480,License Plate,204,299,429,344
190.jpg,640,480,License Plate,218,373,439,408
312.jpg,640,480,License Plate,201,405,437,455
325.jpg,640,480,License Plate,197,293,453,348
481.jpg,640,480,License Plate,228,262,429,299
233.jpg,640,480,License Plate,217,311,444,355
573.jpg,4160,2340,License Plate,1661,1095,2294,1467
158.jpg,640,480,License Plate,217,271,430,323
271.jpg,640,480,License Plate,199,285,437,330
373.jpg,1024,768,License Plate,347,391,647,450
563.jpg,4160,2340,License Plate,1718,1267,2575,1710
250.jpg,640,480,License Plate,212,254,434,301
28.jpg,640,480,License Plate,187,258,384,310
376.jpg,1600,1200,License Plate,575,644,958,731
261.jpg,640,480,License Plate,194,275,437,321
147.jpg,640,480,License Plate,259,369,392,402
135.jpg,640,480,License Plate,92,360,161,410
353.jpg,1024,768,License Plate,341,580,665,651
417.jpg,640,480,License Plate,209,288,368,368
633.jpeg,259,194,License Plate,87,81,184,107
579.jpg,4160,2340,License Plate,1337,1300,2489,1981
46.jpg,640,480,License Plate,197,355,401,400
